open_plus_X,kill_eod,SL,TP,rok,obchodu,uspesnost,usd
15,1,15.0,60.0,2022,169,0.314,4737.5
15,1,15.0,60.0,2023,138,0.413,950.0
15,1,15.0,60.0,2024,125,0.472,3100.0
15,1,15.0,60.0,2025,152,0.368,-5537.5
15,1,15.0,60.0,2026,96,0.354,6037.5
10,0,25.0,20.0,2016,16,0.625,2100.0
10,0,25.0,20.0,2017,27,0.63,3825.0
10,0,25.0,20.0,2018,104,0.529,-7512.5
10,0,25.0,20.0,2019,85,0.659,17862.5
10,0,25.0,20.0,2020,145,0.648,26625.0
10,0,25.0,20.0,2021,139,0.626,18525.0
10,0,25.0,20.0,2022,201,0.517,-21937.5
10,0,25.0,20.0,2023,157,0.58,4575.0
10,0,25.0,20.0,2024,154,0.571,1925.0
10,0,25.0,20.0,2025,177,0.605,17300.0
10,0,25.0,20.0,2026,110,0.518,-12875.0
10,0,30.0,10.0,2016,17,0.706,-1925.0
10,0,30.0,10.0,2017,33,0.788,1900.0
10,0,30.0,10.0,2018,108,0.722,-8700.0
10,0,30.0,10.0,2019,93,0.796,6337.5
10,0,30.0,10.0,2020,149,0.805,13225.0
10,0,30.0,10.0,2021,144,0.799,10400.0
10,0,30.0,10.0,2022,201,0.682,-32525.0
10,0,30.0,10.0,2023,165,0.758,-1625.0
10,0,30.0,10.0,2024,158,0.759,-950.0
10,0,30.0,10.0,2025,177,0.757,-1925.0
10,0,30.0,10.0,2026,110,0.755,-1750.0
15,0,40.0,10.0,2016,8,1.0,3800.0
15,0,40.0,10.0,2017,13,0.846,1175.0
15,0,40.0,10.0,2018,75,0.8,-1875.0
15,0,40.0,10.0,2019,52,0.885,9700.0
15,0,40.0,10.0,2020,125,0.872,19375.0
15,0,40.0,10.0,2021,111,0.874,17725.0
15,0,40.0,10.0,2022,169,0.775,-14725.0
15,0,40.0,10.0,2023,134,0.799,-3850.0
15,0,40.0,10.0,2024,123,0.829,6500.0
15,0,40.0,10.0,2025,151,0.854,18412.5
15,0,40.0,10.0,2026,96,0.854,10600.0
15,1,5.0,5.0,2016,8,0.5,37.5
15,1,5.0,5.0,2017,14,0.429,-250.0
15,1,5.0,5.0,2018,80,0.462,-2450.0
15,1,5.0,5.0,2019,52,0.635,2200.0
15,1,5.0,5.0,2020,127,0.535,-937.5
15,1,5.0,5.0,2021,114,0.553,787.5
15,1,5.0,5.0,2022,169,0.533,-1475.0
15,1,5.0,5.0,2023,138,0.486,-4512.5
15,1,5.0,5.0,2024,125,0.568,1125.0
15,1,5.0,5.0,2025,152,0.546,-162.5
15,1,5.0,5.0,2026,96,0.469,-3800.0
15,1,30.0,5.0,2016,8,0.75,687.5
15,1,30.0,5.0,2017,14,0.429,-200.0
15,1,30.0,5.0,2018,80,0.662,-12187.5
15,1,30.0,5.0,2019,52,0.769,3425.0
15,1,30.0,5.0,2020,127,0.835,1625.0
15,1,30.0,5.0,2021,114,0.781,-1525.0
15,1,30.0,5.0,2022,169,0.817,-14925.0
15,1,30.0,5.0,2023,138,0.812,-1562.5
15,1,30.0,5.0,2024,125,0.84,-62.5
15,1,30.0,5.0,2025,152,0.822,-8350.0
15,1,30.0,5.0,2026,96,0.833,-2837.5
10,1,20.0,60.0,2016,20,0.4,1887.5
10,1,20.0,60.0,2017,38,0.526,-387.5
10,1,20.0,60.0,2018,119,0.445,-6450.0
10,1,20.0,60.0,2019,100,0.53,8387.5
10,1,20.0,60.0,2020,153,0.51,13087.5
10,1,20.0,60.0,2021,149,0.564,20312.5
10,1,20.0,60.0,2022,201,0.343,-9362.5
10,1,20.0,60.0,2023,173,0.451,-887.5
10,1,20.0,60.0,2024,161,0.478,387.5
10,1,20.0,60.0,2025,180,0.394,1050.0
10,1,20.0,60.0,2026,110,0.364,-9362.5
15,1,20.0,25.0,2016,8,0.625,2850.0
15,1,20.0,25.0,2017,14,0.357,-837.5
15,1,20.0,25.0,2018,80,0.425,-6500.0
15,1,20.0,25.0,2019,52,0.596,7425.0
15,1,20.0,25.0,2020,127,0.512,-2487.5
15,1,20.0,25.0,2021,114,0.57,21112.5
15,1,20.0,25.0,2022,169,0.45,-9600.0
15,1,20.0,25.0,2023,138,0.522,5637.5
15,1,20.0,25.0,2024,125,0.56,5825.0
15,1,20.0,25.0,2025,152,0.52,7362.5
15,1,20.0,25.0,2026,96,0.5,3925.0
10,0,20.0,40.0,2016,12,0.333,-300.0
10,0,20.0,40.0,2017,22,0.5,10450.0
10,0,20.0,40.0,2018,88,0.307,-8862.5
10,0,20.0,40.0,2019,73,0.411,14337.5
10,0,20.0,40.0,2020,134,0.388,18650.0
10,0,20.0,40.0,2021,120,0.442,36000.0
10,0,20.0,40.0,2022,196,0.316,-14900.0
10,0,20.0,40.0,2023,147,0.374,14325.0
10,0,20.0,40.0,2024,143,0.35,3425.0
10,0,20.0,40.0,2025,169,0.325,-7462.5
10,0,20.0,40.0,2026,105,0.314,-9750.0
10,1,40.0,10.0,2016,20,0.4,-162.5
10,1,40.0,10.0,2017,38,0.526,-62.5
10,1,40.0,10.0,2018,119,0.571,-10337.5
10,1,40.0,10.0,2019,100,0.56,3012.5
10,1,40.0,10.0,2020,153,0.739,6650.0
10,1,40.0,10.0,2021,149,0.685,600.0
10,1,40.0,10.0,2022,201,0.731,-21087.5
10,1,40.0,10.0,2023,173,0.711,1087.5
10,1,40.0,10.0,2024,161,0.714,4362.5
10,1,40.0,10.0,2025,180,0.733,1250.0
10,1,40.0,10.0,2026,110,0.755,-4212.5
10,1,40.0,30.0,2016,20,0.4,2025.0
10,1,40.0,30.0,2017,38,0.526,-600.0
10,1,40.0,30.0,2018,119,0.479,-10562.5
10,1,40.0,30.0,2019,100,0.53,7600.0
10,1,40.0,30.0,2020,153,0.595,10275.0
10,1,40.0,30.0,2021,149,0.591,10825.0
10,1,40.0,30.0,2022,201,0.522,-21375.0
10,1,40.0,30.0,2023,173,0.555,7987.5
10,1,40.0,30.0,2024,161,0.59,14437.5
10,1,40.0,30.0,2025,180,0.556,13500.0
10,1,40.0,30.0,2026,110,0.518,-9562.5
10,0,5.0,40.0,2016,18,0.111,-450.0
10,0,5.0,40.0,2017,33,0.152,2175.0
10,0,5.0,40.0,2018,111,0.108,-3525.0
10,0,5.0,40.0,2019,89,0.18,10462.5
10,0,5.0,40.0,2020,150,0.1,-7837.5
10,0,5.0,40.0,2021,136,0.213,27850.0
10,0,5.0,40.0,2022,200,0.095,-12250.0
10,0,5.0,40.0,2023,169,0.154,12025.0
10,0,5.0,40.0,2024,157,0.159,13075.0
10,0,5.0,40.0,2025,178,0.146,9162.5
10,0,5.0,40.0,2026,109,0.174,12775.0
15,1,25.0,20.0,2016,8,0.625,2350.0
15,1,25.0,20.0,2017,14,0.357,-837.5
15,1,25.0,20.0,2018,80,0.462,-7425.0
15,1,25.0,20.0,2019,52,0.615,8662.5
15,1,25.0,20.0,2020,127,0.583,8975.0
15,1,25.0,20.0,2021,114,0.596,17125.0
15,1,25.0,20.0,2022,169,0.562,-3000.0
15,1,25.0,20.0,2023,138,0.572,6312.5
15,1,25.0,20.0,2024,125,0.608,2687.5
15,1,25.0,20.0,2025,152,0.612,14225.0
15,1,25.0,20.0,2026,96,0.542,-3462.5
10,0,7.5,60.0,2016,12,0.167,1950.0
10,0,7.5,60.0,2017,27,0.148,2700.0
10,0,7.5,60.0,2018,95,0.116,450.0
10,0,7.5,60.0,2019,75,0.16,9562.5
10,0,7.5,60.0,2020,138,0.094,-11537.5
10,0,7.5,60.0,2021,117,0.197,30825.0
10,0,7.5,60.0,2022,195,0.133,9750.0
10,0,7.5,60.0,2023,149,0.114,-2050.0
10,0,7.5,60.0,2024,139,0.144,11900.0
10,0,7.5,60.0,2025,167,0.138,10112.5
10,0,7.5,60.0,2026,108,0.13,4050.0
15,0,20.0,60.0,2016,4,0.5,3900.0
15,0,20.0,60.0,2017,7,0.571,8825.0
15,0,20.0,60.0,2018,55,0.291,8762.5
15,0,20.0,60.0,2019,39,0.359,15475.0
15,0,20.0,60.0,2020,103,0.252,-1575.0
15,0,20.0,60.0,2021,80,0.362,34000.0
15,0,20.0,60.0,2022,155,0.271,9125.0
15,0,20.0,60.0,2023,103,0.301,18425.0
15,0,20.0,60.0,2024,99,0.283,10525.0
15,0,20.0,60.0,2025,135,0.259,1150.0
15,0,20.0,60.0,2026,86,0.233,-12150.0
10,0,5.0,80.0,2016,14,0.071,400.0
10,0,5.0,80.0,2017,21,0.143,6975.0
10,0,5.0,80.0,2018,95,0.063,-300.0
10,0,5.0,80.0,2019,71,0.113,13412.5
10,0,5.0,80.0,2020,143,0.021,-27587.5
10,0,5.0,80.0,2021,113,0.124,28425.0
10,0,5.0,80.0,2022,196,0.051,-11400.0
10,0,5.0,80.0,2023,146,0.075,6600.0
10,0,5.0,80.0,2024,130,0.1,19500.0
10,0,5.0,80.0,2025,166,0.06,-3150.0
10,0,5.0,80.0,2026,104,0.067,-787.5
10,1,12.5,25.0,2016,20,0.4,1812.5
10,1,12.5,25.0,2017,38,0.526,0.0
10,1,12.5,25.0,2018,119,0.445,-1000.0
10,1,12.5,25.0,2019,100,0.52,7875.0
10,1,12.5,25.0,2020,153,0.444,4825.0
10,1,12.5,25.0,2021,149,0.523,24187.5
10,1,12.5,25.0,2022,201,0.358,825.0
10,1,12.5,25.0,2023,173,0.382,-5150.0
10,1,12.5,25.0,2024,161,0.416,3562.5
10,1,12.5,25.0,2025,180,0.4,7900.0
10,1,12.5,25.0,2026,110,0.364,-487.5
15,0,40.0,20.0,2016,7,0.857,3825.0
15,0,40.0,20.0,2017,9,0.778,2775.0
15,0,40.0,20.0,2018,66,0.667,-562.5
15,0,40.0,20.0,2019,46,0.761,11912.5
15,0,40.0,20.0,2020,119,0.731,20087.5
15,0,40.0,20.0,2021,107,0.72,14325.0
15,0,40.0,20.0,2022,168,0.667,-3925.0
15,0,40.0,20.0,2023,122,0.672,-1050.0
