logika,RRR,TP_ticky,SL_ticky,X,smer,obchodu,TP,SL,EOD,TP_pct,breakeven_pct,edge_pp,b_obchod,t,usd,maxdd_usd,kladne_roky
momentum,1:1,40,40,10,LONG,1523,671,666,186,50.186985789080026,50.0,0.18698578908002617,-0.43483256730137887,-1.794160112213864,-33112.5,-41412.5,2/11
momentum,1:1,40,40,10,SHORT,1488,677,691,120,49.48830409356725,50.0,-0.5116959064327489,-0.722614247311828,-2.88432431073415,-53762.5,-53587.5,1/11
momentum,1:1,40,40,10,OBA,3011,1348,1357,306,49.83364140480592,50.0,-0.16635859519408314,-0.5770508136831617,-3.3121429018751845,-86875.0,-88650.0,1/11
momentum,1:1,40,40,15,LONG,1181,543,500,138,52.06136145733461,50.0,2.0613614573346126,-0.09716342082980525,-0.3522042979416792,-5737.5,-17037.5,4/11
momentum,1:1,40,40,15,SHORT,1182,550,552,80,49.9092558983666,50.0,-0.09074410163339763,-0.5714890016920474,-2.019692868261279,-33775.0,-38625.0,3/11
momentum,1:1,40,40,15,OBA,2363,1093,1052,218,50.955710955710956,50.0,0.9557109557109555,-0.3344265763859501,-1.6923313678038654,-39512.5,-39862.5,2/11
momentum,1:1,40,40,20,LONG,961,451,393,117,53.43601895734598,50.0,3.436018957345979,0.09885535900104059,0.32434945765734363,4750.0,-11787.5,6/11
momentum,1:1,40,40,20,SHORT,996,472,477,47,49.73656480505795,50.0,-0.2634351949420477,-0.5609939759036144,-1.80536271346574,-27937.5,-40375.0,3/11
momentum,1:1,40,40,20,OBA,1957,923,870,164,51.47796988287786,50.0,1.4779698828778578,-0.23696985181400101,-1.0879613497511735,-23187.5,-33612.5,4/11
momentum,1:1,40,40,40,LONG,391,142,189,60,42.90030211480362,50.0,-7.0996978851963775,-1.751918158567775,-3.7299696814208176,-34250.0,-36162.5,1/10
momentum,1:1,40,40,40,SHORT,463,206,235,22,46.71201814058957,50.0,-3.2879818594104293,-1.0842332613390928,-2.384048934561232,-25100.0,-31387.5,3/10
momentum,1:1,40,40,40,OBA,854,348,424,82,45.07772020725388,50.0,-4.922279792746117,-1.3899297423887589,-4.248278296644194,-59350.0,-61800.0,0/11
momentum,"1:1,5",40,60,10,LONG,1523,779,502,242,60.811865729898514,60.0,0.8118657298985141,-0.4660210111621799,-1.6016079780262047,-35487.5,-44712.5,2/11
momentum,"1:1,5",40,60,10,SHORT,1488,805,489,194,62.21020092735703,60.0,2.210200927357029,-0.4699260752688172,-1.5721835278760155,-34962.5,-35587.5,3/11
momentum,"1:1,5",40,60,10,OBA,3011,1584,991,436,61.51456310679612,60.0,1.5145631067961176,-0.4679508468947194,-2.2445409120092417,-70450.0,-74675.0,1/11
momentum,"1:1,5",40,60,15,LONG,1181,628,373,180,62.73726273726273,60.0,2.737262737262732,-0.05143945808636748,-0.15641935533424642,-3037.5,-19987.5,5/11
momentum,"1:1,5",40,60,15,SHORT,1182,660,396,126,62.5,60.0,2.5,-0.24555837563451777,-0.7265546611415874,-14512.5,-25312.5,2/11
momentum,"1:1,5",40,60,15,OBA,2363,1288,769,306,62.61545940690326,60.0,2.6154594069032626,-0.14853999153618283,-0.6300895504534291,-17550.0,-26875.0,3/11
momentum,"1:1,5",40,60,20,LONG,961,508,300,153,62.87128712871287,60.0,2.871287128712872,-0.06425598335067638,-0.17702480599356588,-3087.5,-24287.5,5/11
momentum,"1:1,5",40,60,20,SHORT,996,549,356,91,60.66298342541436,60.0,0.6629834254143603,-0.6468373493975904,-1.7284510053334508,-32212.5,-48925.0,4/11
momentum,"1:1,5",40,60,20,OBA,1957,1057,656,244,61.70461179217747,60.0,1.7046117921774666,-0.36075625958099133,-1.3828819691061403,-35300.0,-46662.5,4/11
momentum,"1:1,5",40,60,40,LONG,391,177,134,80,56.91318327974276,60.0,-3.0868167202572394,-1.3005115089514065,-2.2837998289378123,-25425.0,-27675.0,4/10
momentum,"1:1,5",40,60,40,SHORT,463,248,173,42,58.90736342042755,60.0,-1.0926365795724493,-0.9271058315334774,-1.6842268891813117,-21462.5,-27087.5,4/10
momentum,"1:1,5",40,60,40,OBA,854,425,307,122,58.060109289617486,60.0,-1.9398907103825138,-1.0980679156908666,-2.772178706107876,-46887.5,-49975.0,2/11
momentum,2:1,80,40,10,LONG,1523,387,810,326,32.33082706766917,33.333333333333336,-1.0025062656641666,0.03890347997373605,0.1181547263445587,2962.5,-26537.5,4/11
momentum,2:1,80,40,10,SHORT,1488,400,877,211,31.323414252153487,33.333333333333336,-2.0099190811798486,-0.8983534946236559,-2.6496193336562066,-66837.5,-76812.5,2/11
momentum,2:1,80,40,10,OBA,3011,787,1687,537,31.81083265966047,33.333333333333336,-1.522500673672866,-0.42427764862172035,-1.79505759739366,-63875.0,-72187.5,4/11
momentum,2:1,80,40,15,LONG,1181,286,635,260,31.053203040173727,33.333333333333336,-2.2801302931596084,-0.15791701947502118,-0.42600166578485615,-9325.0,-26487.5,4/11
momentum,2:1,80,40,15,SHORT,1182,345,686,151,33.462657613967025,33.333333333333336,0.12932428063368917,-0.1854906937394247,-0.47444770662534247,-10962.5,-34237.5,5/11
momentum,2:1,80,40,15,OBA,2363,631,1321,411,32.325819672131146,33.333333333333336,-1.0075136612021893,-0.17170969107067288,-0.6375416154924359,-20287.5,-38637.5,2/11
momentum,2:1,80,40,20,LONG,961,241,495,225,32.744565217391305,33.333333333333336,-0.588768115942031,0.23777315296566076,0.5759955383656413,11425.0,-15312.5,5/11
momentum,2:1,80,40,20,SHORT,996,286,608,102,31.991051454138702,33.333333333333336,-1.3422818791946334,-0.5808232931726908,-1.3658682740476285,-28925.0,-41225.0,4/11
momentum,2:1,80,40,20,OBA,1957,527,1103,327,32.331288343558285,33.333333333333336,-1.002044989775051,-0.17884517118037813,-0.6029853799731141,-17500.0,-31137.5,4/11
momentum,2:1,80,40,40,LONG,391,76,222,93,25.503355704697988,33.333333333333336,-7.829977628635348,-1.6937340153452685,-2.800639749425086,-33112.5,-34700.0,1/10
momentum,2:1,80,40,40,SHORT,463,128,291,44,30.54892601431981,33.333333333333336,-2.784407319013525,-1.054535637149028,-1.7052926425676902,-24412.5,-34075.0,4/10
momentum,2:1,80,40,40,OBA,854,204,513,137,28.451882845188287,33.333333333333336,-4.881450488145049,-1.3471896955503513,-3.0990742044308854,-57525.0,-59937.5,1/11
momentum,3:1,120,40,10,LONG,1523,226,867,430,20.67703568161025,25.0,-4.322964318389751,0.170059093893631,0.4446960212089791,12950.0,-20725.0,4/11
momentum,3:1,120,40,10,SHORT,1488,265,938,285,22.02826267664173,25.0,-2.971737323358269,-0.7674731182795699,-1.9181096949216432,-57100.0,-73837.5,3/11
momentum,3:1,120,40,10,OBA,3011,491,1805,715,21.385017421602786,25.0,-3.614982578397214,-0.29325805380272335,-1.059848120087291,-44150.0,-58625.0,4/11
momentum,3:1,120,40,15,LONG,1181,165,670,346,19.760479041916167,25.0,-5.239520958083833,0.026037256562235395,0.06107510926269696,1537.5,-24375.0,5/11
momentum,3:1,120,40,15,SHORT,1182,235,741,206,24.077868852459016,25.0,-0.9221311475409841,0.041666666666666664,0.08925249154361335,2462.5,-33050.0,5/11
momentum,3:1,120,40,15,OBA,2363,400,1411,552,22.087244616234123,25.0,-2.9127553837658766,0.033855268726195514,0.10712052673157785,4000.0,-27025.0,2/11
momentum,3:1,120,40,20,LONG,961,132,523,306,20.15267175572519,25.0,-4.847328244274809,0.42819979188345475,0.9013900065458248,20575.0,-18412.5,8/11
momentum,3:1,120,40,20,SHORT,996,186,650,160,22.248803827751196,25.0,-2.751196172248804,-0.36244979919678716,-0.7206119932105617,-18050.0,-34025.0,4/11
momentum,3:1,120,40,20,OBA,1957,318,1173,466,21.32796780684105,25.0,-3.6720321931589517,0.0258048032703117,0.07450326048150753,2525.0,-32287.5,5/11
momentum,3:1,120,40,40,LONG,391,42,236,113,15.107913669064748,25.0,-9.892086330935252,-1.9424552429667519,-2.878787432700536,-37975.0,-39575.0,0/10
momentum,3:1,120,40,40,SHORT,463,86,315,62,21.44638403990025,25.0,-3.5536159600997514,-1.0394168466522677,-1.4186353452723095,-24062.5,-34000.0,4/10
momentum,3:1,120,40,40,OBA,854,128,551,175,18.851251840942563,25.0,-6.148748159057437,-1.4528688524590163,-2.8874421870717843,-62037.5,-66325.0,1/11
fade,1:1,40,40,10,LONG,1488,670,698,120,48.9766081871345,50.0,-1.0233918128654977,-0.5596438172043011,-2.2332754139220974,-41637.5,-50750.0,2/11
fade,1:1,40,40,10,SHORT,1523,649,688,186,48.541510845175765,50.0,-1.4584891548242354,-0.783650689428759,-3.23275780217779,-59675.0,-62125.0,0/11
fade,1:1,40,40,10,OBA,3011,1319,1386,306,48.76155268022181,50.0,-1.2384473197781887,-0.6729491863168383,-3.8618807007150835,-101312.5,-108037.5,1/11
fade,1:1,40,40,15,LONG,1182,542,560,80,49.18330308529946,50.0,-0.8166969147005432,-0.5977157360406091,-2.1124300458654424,-35325.0,-43525.0,3/11
fade,1:1,40,40,15,SHORT,1181,485,558,138,46.50047938638543,50.0,-3.499520613614571,-1.1568585944115157,-4.199755433679645,-68312.5,-73375.0,3/11
fade,1:1,40,40,15,OBA,2363,1027,1118,218,47.878787878787875,50.0,-2.1212121212121247,-0.8771688531527719,-4.4415888352115385,-103637.5,-112475.0,2/11
fade,1:1,40,40,20,LONG,996,466,483,47,49.10432033719705,50.0,-0.895679662802948,-0.6598895582329317,-2.123864986298863,-32862.5,-35862.5,3/11
fade,1:1,40,40,20,SHORT,961,382,462,117,45.26066350710901,50.0,-4.739336492890992,-1.3147762747138398,-4.313620115037655,-63175.0,-66212.5,1/11
fade,1:1,40,40,20,OBA,1957,848,945,164,47.295036252091464,50.0,-2.704963747908536,-0.9814767501277466,-4.506292743192802,-96037.5,-100300.0,3/11
fade,1:1,40,40,40,LONG,463,229,211,23,52.04545454545455,50.0,2.0454545454545467,-0.14740820734341253,-0.3240967387780468,-3412.5,-25012.5,5/10
fade,1:1,40,40,40,SHORT,391,179,152,60,54.0785498489426,50.0,4.0785498489426,0.2551150895140665,0.5390331131825674,4987.5,-8062.5,7/10
fade,1:1,40,40,40,OBA,854,408,363,83,52.918287937743195,50.0,2.9182879377431945,0.036885245901639344,0.11240403643819649,1575.0,-20337.5,7/11
fade,"1:1,5",40,60,10,LONG,1488,794,514,180,60.703363914373085,60.0,0.7033639143730852,-0.34156586021505375,-1.137145300565311,-25412.5,-36425.0,5/11
fade,"1:1,5",40,60,10,SHORT,1523,741,521,261,58.716323296354986,60.0,-1.283676703645014,-1.082074852265266,-3.705489476572701,-82400.0,-85600.0,1/11
fade,"1:1,5",40,60,10,OBA,3011,1535,1035,441,59.72762645914397,60.0,-0.27237354085603016,-0.7161242112255065,-3.4185477864581126,-107812.5,-118575.0,2/11
fade,"1:1,5",40,60,15,LONG,1182,627,439,116,58.81801125703565,60.0,-1.18198874296435,-0.8153553299492385,-2.374852213639126,-48187.5,-55362.5,2/11
fade,"1:1,5",40,60,15,SHORT,1181,572,406,203,58.48670756646217,60.0,-1.5132924335378277,-1.1818374259102455,-3.5589152538714792,-69787.5,-73112.5,1/11
fade,"1:1,5",40,60,15,OBA,2363,1199,845,319,58.659491193737765,60.0,-1.3405088062622355,-0.998518831993229,-4.1812601894300405,-117975.0,-124437.5,2/11
fade,"1:1,5",40,60,20,LONG,996,549,369,78,59.80392156862745,60.0,-0.19607843137254832,-0.6714357429718876,-1.7864812189691945,-33437.5,-37300.0,3/11
fade,"1:1,5",40,60,20,SHORT,961,452,337,172,57.28770595690747,60.0,-2.712294043092527,-1.376690946930281,-3.731399732796447,-66150.0,-68112.5,1/11
fade,"1:1,5",40,60,20,OBA,1957,1001,706,250,58.64089045108377,60.0,-1.35910954891623,-1.0177567705671946,-3.8622053921798476,-99587.5,-103575.0,3/11
fade,"1:1,5",40,60,40,LONG,463,269,157,37,63.14553990610329,60.0,3.145539906103288,0.18628509719222464,0.34431955683698484,4312.5,-25100.0,5/10
fade,"1:1,5",40,60,40,SHORT,391,197,109,85,64.37908496732027,60.0,4.379084967320267,0.00319693094629156,0.005765765436089823,62.5,-13637.5,7/10
fade,"1:1,5",40,60,40,OBA,854,466,266,122,63.661202185792355,60.0,3.661202185792355,0.10245901639344263,0.26426977572176824,4375.0,-18875.0,7/11
fade,2:1,80,40,10,LONG,1488,366,877,245,29.444891391794048,33.333333333333336,-3.8884419415392877,-0.6911962365591398,-2.0647403203646792,-51425.0,-71900.0,2/11
fade,2:1,80,40,10,SHORT,1523,380,846,297,30.99510603588907,33.333333333333336,-2.3382272974442664,-0.6306631648063034,-1.9304586045780006,-48025.0,-54400.0,3/11
fade,2:1,80,40,10,OBA,3011,746,1723,542,30.214661806399352,33.333333333333336,-3.1186715269339835,-0.6605778811026237,-2.825548329674849,-99450.0,-115387.5,2/11
fade,2:1,80,40,15,LONG,1182,312,704,166,30.708661417322837,33.333333333333336,-2.6246719160104988,-0.5376480541455161,-1.4027186182448304,-31775.0,-42562.5,4/11
fade,2:1,80,40,15,SHORT,1181,282,684,215,29.19254658385093,33.333333333333336,-4.140786749482405,-1.1179085520745131,-3.0365827074550027,-66012.5,-71562.5,3/11
fade,2:1,80,40,15,OBA,2363,594,1388,381,29.969727547931384,33.333333333333336,-3.363605785401951,-0.827655522640711,-3.114503331829254,-97787.5,-108725.0,1/11
fade,2:1,80,40,20,LONG,996,271,598,127,31.185270425776757,33.333333333333336,-2.1480629075565787,-0.37650602409638556,-0.8905103319182189,-18750.0,-35825.0,6/11
fade,2:1,80,40,20,SHORT,961,217,559,185,27.963917525773198,33.333333333333336,-5.369415807560138,-1.3943808532778357,-3.4770441319798358,-67000.0,-68875.0,2/11
fade,2:1,80,40,20,OBA,1957,488,1157,312,29.66565349544073,33.333333333333336,-3.6676798378926065,-0.8763413387838528,-3.0028015836001267,-85750.0,-90250.0,2/11
fade,2:1,80,40,40,LONG,463,131,277,55,32.1078431372549,33.333333333333336,-1.2254901960784323,-0.32667386609071275,-0.5230425593119217,-7562.5,-25362.5,4/10
fade,2:1,80,40,40,SHORT,391,92,205,94,30.976430976430976,33.333333333333336,-2.35690235690236,-0.5332480818414322,-0.8451224241740192,-10425.0,-19150.0,2/10
fade,2:1,80,40,40,OBA,854,223,482,149,31.631205673758867,33.333333333333336,-1.7021276595744688,-0.4212529274004684,-0.9469441106175717,-17987.5,-32762.5,3/11
fade,3:1,120,40,10,LONG,1488,198,954,336,17.1875,25.0,-7.8125,-1.2179099462365592,-3.2409198430651376,-90612.5,-106162.5,2/11
fade,3:1,120,40,10,SHORT,1523,250,902,371,21.70138888888889,25.0,-3.2986111111111107,-0.48177938279711097,-1.2555098688267092,-36687.5,-45987.5,3/11
fade,3:1,120,40,10,OBA,3011,448,1856,707,19.444444444444446,25.0,-5.555555555555554,-0.845566257057456,-3.1472375648821758,-127300.0,-138362.5,2/11
fade,3:1,120,40,15,LONG,1182,187,756,239,19.830328738069987,25.0,-5.169671261930013,-0.4845600676818951,-1.0868145998145167,-28637.5,-37787.5,3/11
fade,3:1,120,40,15,SHORT,1181,189,727,265,20.633187772925766,25.0,-4.366812227074234,-0.8780694326841659,-2.0215264776233046,-51850.0,-66862.5,3/11
fade,3:1,120,40,15,OBA,2363,376,1483,504,20.225927918235612,25.0,-4.774072081764388,-0.6812314853999154,-2.189098106868405,-80487.5,-98150.0,3/11
fade,3:1,120,40,20,LONG,996,177,631,188,21.905940594059405,25.0,-3.0940594059405946,0.24246987951807228,0.4804173449975746,12075.0,-27762.5,6/11
fade,3:1,120,40,20,SHORT,961,136,598,227,18.52861035422343,25.0,-6.4713896457765685,-1.4797086368366286,-3.1928140563562435,-71100.0,-76175.0,3/11
fade,3:1,120,40,20,OBA,1957,313,1229,415,20.298313878080414,25.0,-4.701686121919586,-0.6032192130812468,-1.7553524796817126,-59025.0,-63900.0,3/11
fade,3:1,120,40,40,LONG,463,80,301,82,20.99737532808399,25.0,-4.00262467191601,-0.5890928725701944,-0.813807109161238,-13637.5,-29300.0,4/10
fade,3:1,120,40,40,SHORT,391,54,219,118,19.78021978021978,25.0,-5.219780219780219,-0.7531969309462916,-1.0473904100202402,-14725.0,-24200.0,1/10
fade,3:1,120,40,40,OBA,854,134,520,200,20.489296636085626,25.0,-4.510703363914374,-0.6642271662763466,-1.2973663706472818,-28362.5,-43187.5,3/11
