,0
09:30,17.1
10:00,14.7
10:30,12.9
11:00,11.7
11:30,10.8
12:00,10.0
12:30,9.5
13:00,10.0
13:30,9.7
14:00,10.5
14:30,10.5
15:00,10.8
15:30,13.9
