family,rclass,n,pos_disc,pos_val,pos_oos,med_pf,med_sharpe,med_expo,min_share,accepted
LMT_Down#_#ATR,short_term,1140,0.862280701754386,0.8508771929824561,0.9166666666666666,2.276563485115592,0.5807083896490244,0.06873706004140787,0.8508771929824561,True
DeltaZ<#,short_term,1710,0.8912280701754386,0.8245614035087719,0.8046783625730994,1.5226754969957157,0.43400029560755576,0.1598343685300207,0.8046783625730994,True
TurnaroundMon,short_term,570,0.9192982456140351,0.787719298245614,0.8122807017543859,1.4642269793667688,0.41061724483407674,0.17349896480331262,0.787719298245614,True
C<prev_qvwap,short_term,570,0.9631578947368421,0.7684210526315789,0.9912280701754386,2.0892061306569083,0.6376559042795038,0.11159420289855072,0.7684210526315789,True
IBS<#,short_term,2850,0.9919298245614036,0.7564912280701754,0.9112280701754386,1.520905271701578,0.5984717732893586,0.2685300207039337,0.7564912280701754,True
DownDays>=#,short_term,2280,0.7710526315789473,0.7324561403508771,0.9557017543859649,1.797072330654421,0.46919457547129484,0.07846790890269151,0.7324561403508771,False
C<prev_wvwap,short_term,570,0.9824561403508771,0.7035087719298245,0.9210526315789473,1.361889095500295,0.5000506663326247,0.29834368530020705,0.7035087719298245,False
SweepPrevWeekVAL,short_term,570,0.9210526315789473,0.6964912280701754,0.9491228070175438,1.4823048201248183,0.5320763019786139,0.1869565217391304,0.6964912280701754,False
TurtleSoup#,LT_bull,342,0.7923976608187134,0.6783625730994152,0.7426900584795322,1.4509803921568627,0.2624298182359366,0.04782608695652174,0.6783625730994152,False
LMT@prevWeekVAL,short_term,570,0.9070175438596492,0.6894736842105263,0.6719298245614035,1.2576328799576904,0.32574335814021493,0.2511387163561076,0.6719298245614035,False
Breakout#dHigh,short_term,1710,0.9953216374269006,0.6719298245614035,0.7941520467836257,1.2596522311870437,0.41619776498727246,0.3958592132505176,0.6719298245614035,False
C<wvwap#sd,short_term,2850,0.9785964912280701,0.6691228070175439,0.9687719298245614,1.5438507796549275,0.5835481895125643,0.265424430641822,0.6691228070175439,False
LowerLows>=#,short_term,2280,0.8328947368421052,0.6456140350877193,0.9578947368421052,1.8189023745422075,0.48328763782640566,0.0803312629399586,0.6456140350877193,False
TurnaroundMon,LT_bull,342,0.9532163742690059,0.6403508771929824,0.6783625730994152,1.3261049868105808,0.3211898993374357,0.1753623188405797,0.6403508771929824,False
CumRSI#x#<#,short_term,4560,0.7958333333333333,0.6375,0.9842105263157894,1.9146257430121565,0.5452907969798668,0.06790890269151138,0.6375,False
LMT_Down#_#ATR,LT_bull,684,0.8494152046783626,0.631578947368421,0.9078947368421053,1.606165035601026,0.445667234687196,0.0886128364389234,0.631578947368421,False
C<dvwap#sd,short_term,2850,0.9929824561403509,0.6312280701754386,0.9280701754385965,1.5623668396593842,0.6022966467491055,0.3060041407867495,0.6312280701754386,False
DeltaZ<#,LT_bull,1026,0.6900584795321637,0.6754385964912281,0.6159844054580896,1.1765415344851573,0.1843101631478466,0.16853002070393375,0.6159844054580896,False
LMT_RSI#<#_#ATR,short_term,5130,0.9079922027290448,0.6048732943469786,0.9693957115009747,2.192161385263383,0.6364166557313986,0.08198757763975155,0.6048732943469786,False
C<prevDayVAL,short_term,570,0.9947368421052631,0.6017543859649123,0.9771929824561404,1.3915953955244884,0.5682063133203623,0.4153209109730849,0.6017543859649123,False
TOM_d#,short_term,2850,0.8933333333333333,0.6431578947368422,0.5880701754385965,1.3612252023997495,0.3212025144069499,0.10745341614906832,0.5880701754385965,False
STOP@#dHigh,LT_bull,1026,0.7066276803118908,0.723196881091618,0.5857699805068226,1.1575006423758474,0.21954902271066845,0.34513457556935817,0.5857699805068226,False
STOP@#dHigh,short_term,1710,0.7257309941520468,0.5842105263157895,0.6789473684210526,1.135126539142223,0.19306660303673476,0.3807453416149068,0.5842105263157895,False
LowSweep_prev_mvwap,short_term,570,0.6701754385964912,0.8140350877192982,0.5684210526315789,1.2286739439726682,0.20927543602320872,0.10331262939958592,0.5684210526315789,False
Breakout#dHigh,LT_bull,1026,1.0,0.5555555555555556,0.6442495126705653,1.180930177990529,0.27432644556214036,0.36231884057971014,0.5555555555555556,False
TurtleSoup#,short_term,570,0.5350877192982456,0.7070175438596491,0.5929824561403508,1.3365650969529086,0.12459771222685807,0.02256728778467909,0.5350877192982456,False
DownDay&DeltaPos,short_term,570,0.9631578947368421,0.7456140350877193,0.5298245614035088,1.2226535820369109,0.26517504018703125,0.2289855072463768,0.5298245614035088,False
RSI#<#,short_term,11400,0.8574561403508771,0.507719298245614,0.893859649122807,1.7551669316375198,0.5001796197451156,0.07991718426501035,0.507719298245614,False
Reclaim_mvwap,LT_bull,342,0.9385964912280702,0.49707602339181284,0.7748538011695907,1.2409059048171514,0.27654746789246093,0.1650103519668737,0.49707602339181284,False
TOM_d#,LT_bull,1710,0.8666666666666667,0.6690058479532164,0.4760233918128655,1.2778848426927158,0.2555460815632646,0.1113871635610766,0.4760233918128655,False
DownDays>=#,LT_bull,1368,0.5869883040935673,0.4554093567251462,0.9766081871345029,1.435789322359942,0.3535678631057174,0.09792960662525879,0.4554093567251462,False
ConnorsRSI<#,short_term,2394,0.8830409356725146,0.4494569757727652,0.8483709273182958,1.6913093613323875,0.4837582283322279,0.09233954451345756,0.4494569757727652,False
C<qvwap#sd,short_term,2280,0.7697368421052632,0.4482456140350877,0.7916666666666666,1.3794161140075196,0.2706754050125583,0.06604554865424431,0.4482456140350877,False
C<prev_qvwap,LT_bull,342,0.9736842105263158,0.4444444444444444,0.8801169590643275,1.42519204982632,0.3726333647386145,0.11118012422360249,0.4444444444444444,False
#DownIntoFri,LT_bull,684,0.4444444444444444,0.4619883040935672,0.7470760233918129,1.1641510796562429,0.12019867109129806,0.06086956521739131,0.4444444444444444,False
C<prevWeekPOC,short_term,570,0.9947368421052631,0.4263157894736842,0.9649122807017544,1.4187216670887484,0.5629792363721065,0.32608695652173914,0.4263157894736842,False
PreHoliday,short_term,570,0.9824561403508771,0.4666666666666667,0.4245614035087719,1.6443924714945521,0.24118310713920355,0.03064182194616977,0.4245614035087719,False
ATH_DD##&Down,LT_bull,912,0.7280701754385965,0.4232456140350877,0.743421052631579,1.36930094085765,0.31060680439375754,0.07018633540372671,0.4232456140350877,False
LowSweep_prev_mvwap,LT_bull,342,0.6228070175438597,0.41812865497076024,0.6198830409356725,1.0443122636412328,0.040988274033361825,0.10124223602484472,0.41812865497076024,False
CloseAt#dLow,short_term,2280,0.9548245614035088,0.41271929824561404,0.9662280701754385,1.6164615937929028,0.5044680477171426,0.13519668737060042,0.41271929824561404,False
LMT@wvwap#sd,short_term,1710,0.9701754385964912,0.4017543859649123,0.791812865497076,1.2099936185384537,0.3552128316981167,0.4668737060041408,0.4017543859649123,False
EMA#>#cross,short_term,570,0.8298245614035088,0.3912280701754386,0.6789473684210526,1.2351434471634068,0.1633551540952269,0.061076604554865424,0.3912280701754386,False
IBS<#,LT_bull,1710,0.9660818713450292,0.3871345029239766,0.9812865497076023,1.4625358367162442,0.5625010344931514,0.28716356107660457,0.3871345029239766,False
OpexWeekMon,short_term,570,0.6052631578947368,0.4,0.38070175438596493,0.9236637102899461,-0.08794725026641859,0.11801242236024845,0.38070175438596493,False
#DownIntoFri,short_term,1140,0.5842105263157895,0.3780701754385965,0.787719298245614,1.136869253239546,0.09312187405353381,0.051759834368530024,0.3780701754385965,False
LMT_RSI#<#_#ATR,LT_bull,3078,0.9428200129954516,0.34860298895386616,0.9902534113060428,1.932777625283069,0.6564117348435197,0.1093167701863354,0.34860298895386616,False
DownDay&DeltaPos,LT_bull,342,0.9444444444444444,0.347953216374269,0.3713450292397661,1.0553955755679072,0.06853748472873972,0.2329192546583851,0.347953216374269,False
#Down&CD#pos,short_term,570,0.34210526315789475,0.7578947368421053,0.8473684210526315,1.6778116324076575,0.23705522262757514,0.02587991718426501,0.34210526315789475,False
WR#<#,short_term,1710,0.9140350877192982,0.32923976608187133,0.7298245614035088,1.857967732095247,0.38355519088715156,0.03436853002070393,0.32923976608187133,False
Reclaim_wvwap,LT_bull,342,0.8859649122807017,0.32748538011695905,0.7719298245614035,1.1876183100755915,0.27141076801743524,0.3318840579710145,0.32748538011695905,False
Reclaim_mvwap,short_term,570,1.0,0.3192982456140351,0.8192982456140351,1.306324970744807,0.340542556561084,0.1743271221532091,0.3192982456140351,False
LowerLows>=#,LT_bull,1368,0.7317251461988304,0.31505847953216376,0.9744152046783626,1.3628051056206616,0.3359911591485331,0.10766045548654245,0.31505847953216376,False
Reclaim_wvwap,short_term,570,0.9736842105263158,0.312280701754386,0.8403508771929824,1.2558733016624077,0.3771157012495085,0.33664596273291925,0.312280701754386,False
ATH_DD##&Down,short_term,1710,0.8175438596491228,0.30935672514619883,0.6415204678362573,1.3430798370736938,0.2410474138166203,0.06252587991718427,0.30935672514619883,False
C<prev_mvwap,short_term,456,0.9517543859649122,0.3092105263157895,0.8947368421052632,1.3811517700787626,0.37914194473239293,0.16231884057971013,0.3092105263157895,False
PreHoliday,LT_bull,342,0.9824561403508771,0.49415204678362573,0.28654970760233917,1.4312948937988517,0.1975564125730196,0.03064182194616977,0.28654970760233917,False
C<SMA##ATR,short_term,1710,0.9257309941520467,0.28596491228070176,0.6883040935672514,2.0931345502934136,0.3901683016590637,0.02525879917184265,0.28596491228070176,False
Low#&CDpos,short_term,1140,0.3956140350877193,0.28596491228070176,0.775438596491228,1.1061373958606762,0.06865125680200398,0.05942028985507246,0.28596491228070176,False
EMA#>#cross,LT_bull,342,0.8333333333333334,0.2777777777777778,0.6812865497076024,1.1338824539389432,0.08866992952926722,0.05714285714285714,0.2777777777777778,False
CumRSI#x#<#,LT_bull,2736,0.6699561403508771,0.24926900584795322,0.998172514619883,1.5942038252879853,0.4893977104446749,0.10476190476190476,0.24926900584795322,False
C<mvwap#sd,short_term,2850,0.9431578947368421,0.2336842105263158,0.8687719298245614,1.4104689333012284,0.35802040230832477,0.12753623188405797,0.2336842105263158,False
C<qvwap#sd,LT_bull,1710,0.8719298245614036,0.23333333333333334,0.9502923976608187,1.29498749637272,0.285945561853763,0.12256728778467908,0.23333333333333334,False
OpexWeekMon,LT_bull,342,0.695906432748538,0.22807017543859648,0.43567251461988304,0.9742306032814119,-0.024013727300578068,0.11552795031055901,0.22807017543859648,False
BigDown&DeltaPos,short_term,570,0.7473684210526316,0.22631578947368422,0.6894736842105263,1.2845238095238096,0.11433624921044452,0.020289855072463767,0.22631578947368422,False
