family,rclass,n,pos_disc,pos_val,pos_oos,med_pf,med_sharpe,med_expo,min_share,accepted
Reclaim_wvwap,short_term,570,0.9035087719298246,0.8350877192982457,0.8456140350877193,1.5794288517976296,0.7956936580872652,0.35451505016722407,0.8350877192982457,True
Reclaim_mvwap,short_term,570,0.9701754385964912,0.8,0.9649122807017544,1.8819170089527586,0.7829816367757907,0.17182274247491638,0.8,True
SweepPrevWeekVAL,short_term,570,0.8456140350877193,0.7947368421052632,0.8368421052631579,1.6331890018779178,0.6067821829812036,0.18311036789297658,0.7947368421052632,True
LowSweep_prev_wvwap,short_term,570,1.0,0.7842105263157895,0.9824561403508771,1.9285394710762214,0.9176155106156785,0.22031772575250835,0.7842105263157895,True
Breakout#dHigh,short_term,1710,0.7789473684210526,0.9555555555555556,0.928654970760234,1.3865822328260529,0.6085299977084557,0.4590301003344482,0.7789473684210526,True
Breakout#dHigh,LT_bull,1026,0.7368421052631579,0.9239766081871345,0.9327485380116959,1.3476335625746443,0.5425241570017545,0.43185618729096986,0.7368421052631579,False
C<mvwap#sd,short_term,2850,0.7094736842105264,0.7526315789473684,0.8740350877192983,1.7762021786839481,0.5651995408378245,0.112876254180602,0.7094736842105264,False
LMT@prevWeekVAL,short_term,570,0.887719298245614,0.8263157894736842,0.7070175438596491,1.386291177177121,0.4506998027390463,0.23076923076923078,0.7070175438596491,False
TOM_d#,short_term,2850,0.6968421052631579,0.7954385964912281,0.8631578947368421,1.8968367807152395,0.6600002471522461,0.1124581939799331,0.6968421052631579,False
C<prevWeekPOC,short_term,570,0.7105263157894737,0.6912280701754386,0.9736842105263158,1.5669189995192514,0.7591565355102214,0.3319397993311037,0.6912280701754386,False
C<prevDayVAL,short_term,570,0.6666666666666666,0.8157894736842105,1.0,1.5573838146178347,0.8289040069898465,0.4289297658862876,0.6666666666666666,False
PreHoliday,LT_bull,342,0.6549707602339181,0.8421052631578947,1.0,4.117488616612798,0.8482445936631342,0.039297658862876256,0.6549707602339181,False
LMT@wvwap#sd,short_term,1710,0.6508771929824562,0.8660818713450292,0.9432748538011696,1.4119529968679085,0.6366063817164174,0.47700668896321075,0.6508771929824562,False
LMT@wvwap#sd,LT_bull,1026,0.767056530214425,0.6442495126705653,0.9873294346978557,1.3535301495310639,0.587398724550736,0.4908026755852843,0.6442495126705653,False
WR#<#,short_term,1710,0.6286549707602339,0.632748538011696,0.9070175438596492,3.038779465352544,0.6324487275948649,0.030936454849498328,0.6286549707602339,False
GapDownWeak>#ATR,short_term,1710,0.632748538011696,0.6076023391812866,0.8929824561403509,1.8569793726192763,0.42458515427121957,0.05434782608695652,0.6076023391812866,False
STOP@#dHigh,short_term,1710,0.8385964912280702,0.5982456140350877,0.7994152046783626,1.3448559550938095,0.47208754616490267,0.44481605351170567,0.5982456140350877,False
CloseAt#dLow,short_term,2280,0.5978070175438597,0.7197368421052631,0.9179824561403509,1.6766097294536468,0.5717847495474169,0.13252508361204013,0.5978070175438597,False
LMT@prevWeekVAL,LT_bull,342,0.956140350877193,0.5935672514619883,0.7397660818713451,1.2878529490521453,0.36217157219264623,0.2525083612040134,0.5935672514619883,False
TOM_d#,LT_bull,1710,0.6912280701754386,0.5888888888888889,0.8543859649122807,1.6395799375911015,0.5352027400781055,0.11956521739130435,0.5888888888888889,False
Inside_BuyStop,short_term,570,0.5859649122807018,0.6140350877192983,0.7368421052631579,1.2119997655795336,0.2215136768541652,0.1588628762541806,0.5859649122807018,False
PreHoliday,short_term,570,0.5859649122807018,0.9350877192982456,1.0,3.982150166326918,0.8116740064920887,0.039297658862876256,0.5859649122807018,False
C<prev_wvwap,short_term,570,0.5824561403508772,0.7035087719298245,0.9543859649122807,1.4714404464332067,0.6399741818555718,0.30058528428093645,0.5824561403508772,False
