X,kill,smer,SL,TPb,n,tp,sl,win,usd,ptt,t,dd,streak
15,Yes,long,10.0,15.0,1075,35.163,49.488,44.558,13537.5,0.252,0.715,-15000.0,12
15,Yes,long,15.0,22.5,1075,27.535,43.628,46.977,27162.5,0.505,1.029,-19900.0,12
15,Yes,long,20.0,30.0,1075,21.023,36.651,49.86,48050.0,0.894,1.486,-14775.0,8
15,Yes,long,30.0,45.0,1075,11.163,26.698,52.372,37762.5,0.703,0.928,-18962.5,10
15,Yes,short,2.0,3.0,1080,36.481,63.519,36.481,-36500.0,-0.676,-9.225,-37375.0,13
15,Yes,short,3.0,4.5,1080,37.315,62.685,37.315,-37875.0,-0.701,-6.352,-40175.0,19
15,Yes,short,5.0,7.5,1080,39.722,60.093,39.907,-28062.5,-0.52,-2.792,-30062.5,10
15,Yes,short,7.5,11.25,1080,39.537,58.148,40.926,-20287.5,-0.376,-1.352,-35775.0,12
15,Yes,short,10.0,15.0,1080,37.593,55.741,41.389,-17450.0,-0.323,-0.888,-36325.0,10
15,Yes,short,15.0,22.5,1080,34.444,47.778,43.333,13300.0,0.246,0.473,-39575.0,9
15,Yes,short,20.0,30.0,1080,27.87,41.019,43.333,7037.5,0.13,0.202,-38162.5,10
15,Yes,short,30.0,45.0,1080,18.611,29.259,44.722,10450.0,0.194,0.23,-50850.0,9
