SL,RRR,n,win,usd_med,usd_lo,usd_hi
2.0,1.5,2490.6,39.616927767271406,-66306.25,-69101.25,-57800.0
3.0,1.5,2483.0,41.003285725905656,-49012.5,-64927.5,-45926.25
5.0,1.5,2421.2,41.5904194200417,-34150.0,-52098.75,-19505.0
7.5,1.5,2292.6,42.89078455289789,4012.5,-19472.5,24693.749999999996
10.0,1.5,2157.0,43.16146995322706,23018.75,16135.0,52283.75
15.0,1.5,1876.9,43.46354050543547,74218.75,52126.25,100738.74999999999
20.0,1.5,1609.9,43.374197344926294,96231.25,69058.75,112391.24999999999
30.0,1.5,1182.7,42.9952363298105,86025.0,70941.25,140282.5
