,0
celkem,301075.0
nahodny_celkem,331630.4166666667
max_dd,-81650.0
nejdelsi_pod_vrcholem_dni,473.0
sharpe_rocni,0.6232542383121223
prum_korelace_robotu,0.5070456785514394
max_soubezne_kontrakty,5.0
obchodu,5139.0
ztratove_roky,2.0
