rodina,varianta,mechanismus,obchodu,win,b_obchod,t,bez_podminky_b,nad_nahodou_b,p_nahoda,alfa_b_den,alfa_t,beta,is_b,is_t,oos_b,oos_t,kladne_roky,usd
S Absorpce (pasivní strana vyhrává),"růst, ale delta < 0 (pasivní kupci) → long 1 den",limitní objednávky velkých hráčů absorbují agresory,375,49.6,-3.032,-1.4398054577716906,1.4215320456540825,-4.436712333333333,0.966,-0.7433204177749168,-2.306631894815896,0.13022377897691606,-2.85,-1.0827410722386737,-3.2291666666666665,-0.9662861634795878,5/10,-56850.0
S Absorpce (pasivní strana vyhrává),"pokles, ale delta > 0 (pasivní prodejci) → short 1 den",limitní objednávky velkých hráčů absorbují agresory,297,50.16835016835017,5.593434343434343,1.635206740256474,-2.4215320456540823,7.865294191919192,0.0015,1.1355863114965927,2.883489851161098,-0.2164028923050972,6.185714285714286,1.5111488215459332,5.0652866242038215,0.9458058234884552,6/10,83062.5
S Absorpce (pasivní strana vyhrává),oba směry dohromady,totéž,605,49.75206611570248,1.0173553719008264,0.5099622394326768,-1.8965100965759438,2.8724514462809916,0.0585,0.40899880854081005,0.7826492295509574,-0.07398358886203689,2.8122923588039868,1.161965616853634,-0.7598684210526315,-0.23998991449765625,5/10,30775.0
S Absorpce (pasivní strana vyhrává),"silná verze: |delta| > medián 20 dní, oba směry",totéž,283,45.22968197879859,-6.629858657243816,-1.9224720744762618,-1.8965100965759438,-4.764195671378092,0.9495,-0.6355922712493097,-1.5198283314476273,-0.09693996862832327,-3.738721804511278,-1.1048181544778517,-9.193333333333333,-1.5912801498651712,2/10,-93812.5
T Kapitulační objem,pokles a objem > 1.3× průměr 20 dní → long do close > včerejší high (max 5),vyprodání při panice,153,67.3202614379085,7.655228758169935,1.2600229523437012,6.0755048287971904,1.6064836601307189,0.384,-0.0040577949976053854,-0.009510308409864146,0.271998698357126,8.64010989010989,1.6181184533064108,6.209677419354839,0.48316979447959674,7/10,58562.5
T Kapitulační objem,pokles a objem > 1.6× průměr 20 dní → long do close > včerejší high (max 5),vyprodání při panice,65,70.76923076923077,27.053846153846155,2.6841064005846755,6.0755048287971904,21.15364230769231,0.0035,0.46871661096403827,1.339365961623346,0.1578570268745698,20.119565217391305,2.088149415207667,43.8421052631579,1.7173690884890953,9/10,87925.0
U Rebalancing na konci měsíce,"3 dny před koncem měsíce: MTD > +1.5 ATR → short, < −1.5 ATR → long, do konce měsíce",penzijní fondy vracejí váhy akcií,88,50.0,-2.815340909090909,-0.3844427749083788,-0.9363476733977173,-1.7555852272727275,0.5795,-0.1437025772497612,-0.4802949076847544,0.018738298923323196,-5.048913043478261,-0.6160893691034693,-0.36904761904761907,-0.029413670139509324,5/10,-12387.5
U Rebalancing na konci měsíce,"3 dny před koncem měsíce: MTD > +2.5 ATR → short, < −2.5 ATR → long, do konce měsíce",penzijní fondy vracejí váhy akcií,70,51.42857142857142,-1.1571428571428573,-0.1537310912159972,-0.9363476733977173,-0.0761035714285716,0.486,-0.07566928507890655,-0.29730510469372917,0.021262061593386585,-3.6973684210526314,-0.4507381116442507,1.859375,0.13860972017764683,5/10,-4050.0
V Býčí reverzní den,"gap dolů > 0,2 ATR a close > open → long 1 den",neúspěšný výprodej,309,51.45631067961165,-3.6254045307443366,-1.2478579159245924,1.4215320456540825,-4.947702669902912,0.9675,-0.8076390160535645,-2.255053224296387,0.16801874241406906,-0.3371710526315789,-0.11139571932224122,-6.808917197452229,-1.3874940027731018,4/10,-56012.5
V Býčí reverzní den,nové 20denní low intradenně a close v horní polovině → long 1 den,odmítnutí nižších cen,58,58.620689655172406,-2.2586206896551726,-0.2701925364797049,1.4215320456540825,-3.7142564655172414,0.7295,-0.14833426250450604,-0.722991813172402,0.04808143796678046,-0.9565217391304348,-0.08339921392154712,-3.1142857142857143,-0.26496745158942847,5/10,-6550.0
