rodina,varianta,mechanismus,obchodu,win,b_obchod,t,bez_podminky_b,nad_nahodou_b,p_nahoda,alfa_b_den,alfa_t,beta,is_b,is_t,oos_b,oos_t,kladne_roky,usd
L Týdenní reverze,týden dolů → long pátek close do dalšího pátku,rebalancing a reverze týdenních pohybů,140,55.714285714285715,12.446428571428571,1.2378114543891838,3.8227611940298507,8.444433035714287,0.101,0.033236946482282155,0.07116552188448998,0.3839381124487238,10.080882352941176,0.8051392547900255,14.680555555555555,0.9378584033851489,8/10,87125.0
L Týdenní reverze,týden dolů o víc než 1 ATR → long pátek close do dalšího pátku,rebalancing a reverze týdenních pohybů,88,55.68181818181818,10.710227272727273,0.7488285931410766,3.8227611940298507,6.979447443181819,0.204,-0.14929302252476578,-0.34067109362089687,0.29592328128142703,11.48076923076923,0.5853088386907745,10.096938775510203,0.4906770558590944,7/10,47125.0
M Víkend a pondělí,pátek close → pondělí close,"víkendová prémie, pondělní toky",403,60.7940446650124,4.303970223325062,1.9167554397317197,1.4215320456540825,3.023168734491315,0.092,0.4338855480095533,1.2009870974736778,0.17070493521297653,1.1473429951690821,0.3863078517997725,7.637755102040816,2.2601814627875743,7/10,86725.0
M Víkend a pondělí,pondělí open → close,pondělní toky,477,55.13626834381551,2.1121593291404612,1.4608334749701473,0.038301141352063216,2.0380880503144656,0.11,0.2722991833020785,0.9402759312302027,0.08845916024151604,-0.24793388429752067,-0.15139940578742586,4.542553191489362,1.8964198454295702,5/10,50375.0
N Před svátkem,close 2 dny před svátkem → close den před svátkem,"optimismus před svátkem, nízká likvidita (Ariel 1990)",88,68.18181818181817,7.284090909090909,2.305564922151227,1.4215320456540825,5.932193181818182,0.1055,0.24834429934128238,2.013483612953754,0.01665608075766679,5.321428571428571,1.503690278471943,9.076086956521738,1.7681347935002372,8/10,32050.0
N Před svátkem,close den před svátkem → close po svátku,totéž přes svátek,88,35.22727272727273,-8.491477272727273,-1.8475165685567156,1.4215320456540825,-9.924305397727274,0.977,-0.39288420599390933,-2.2332003971115295,0.03512581803491802,-2.7797619047619047,-0.5587538199042682,-13.706521739130435,-1.8271260284613937,2/10,-37362.5
O Před FOMC (Lucca–Moench),close den před FOMC → 13:58 v den FOMC,riziková prémie před oznámením,72,54.166666666666664,6.090277777777778,1.9498330794619814,1.5443371378402106,4.579821180555555,0.171,0.1716799045640855,1.7229265478216826,0.010449402349690455,3.7430555555555554,0.904925851912874,8.4375,1.7924450384730863,6/10,21925.0
O Před FOMC (Lucca–Moench),open → 13:58 v den FOMC,"totéž, jen seance",72,40.27777777777778,-1.0,-0.6467881297361933,0.15507023705004389,-1.1544739583333332,0.6315,-0.03738437690866839,-0.7727415743032223,0.003135815476263033,-1.6736111111111112,-0.7674422042991187,-0.3263888888888889,-0.147197615283841,4/10,-3600.0
O Před FOMC (Lucca–Moench),close den před FOMC → close v den FOMC,včetně reakce,72,43.05555555555556,0.8576388888888888,0.14780731126556254,1.4215320456540825,-0.5961597222222224,0.538,-0.040773997806933075,-0.22886993709066064,0.03574044236573396,2.3680555555555554,0.44768901153113416,-0.6527777777777778,-0.06267256095001847,6/10,3087.5
P Opční expirace,long týden expirace (pátek close před → close expirace),pinning a dealer hedging (Stivers–Sun),110,48.18181818181818,-0.9659090909090909,-0.10233879100375397,14.552019315188762,-15.286180681818182,0.856,-0.4285633245643782,-1.1133782369821827,0.20163815753756725,-3.169642857142857,-0.3310788157429927,1.3194444444444444,0.0796568596531935,5/10,-5312.5
P Opční expirace,short týden po expiraci (close expirace → další pátek),uvolnění hedgí po expiraci,110,38.18181818181819,-14.913636363636364,-1.6229233151049807,-4.822761194029851,-10.243682954545456,0.921,-0.33790830352562334,-0.8797122399419268,-0.19968665052158788,-5.625,-0.5060589987726429,-24.546296296296298,-1.6648926370249653,5/10,-82025.0
Q N-denní low nad MA200 (Connors),close = 5denní low a nad MA200 → long do close > MA5 (max 10),nákup slabosti v býčím trendu,158,74.68354430379746,10.88132911392405,2.255245038781491,7.490891132572432,3.2839960443037963,0.27,0.3166982234380183,0.7861922311587952,0.22902161588086792,9.929878048780488,1.8011584060670185,11.907894736842104,1.4672326223368075,8/10,85962.5
Q N-denní low nad MA200 (Connors),close = 10denní low a nad MA200 → long do close > MA5 (max 10),nákup slabosti v býčím trendu,87,70.11494252873564,14.310344827586206,1.8942759068245536,7.490891132572432,7.188916666666666,0.1455,0.22178112411239756,0.6158549379371838,0.16983381735674433,18.229166666666668,2.4228095143240624,9.487179487179487,0.6694388688505901,7/10,62250.0
R Reverze na konci dne (a posteriori!),"pohyb open→15:30 > 0,5 ATR → proti němu 15:30–16:00","vyrovnávání MOC, uzavírání intradenních pozic",918,47.712418300653596,-0.43899782135076254,-1.0911219454493797,-0.43899782135076254,-0.012328703703703758,0.5065,-0.1973791199546004,-1.2251566088103656,0.011289254005192094,-0.6591422121896162,-1.273873788429046,-0.2336842105263158,-0.38303658976552346,5/10,-20150.0
R Reverze na konci dne (a posteriori!),"proti směru 1. půlhodiny, |r1| > 0,25 ATR, 15:30–16:00","otočené Gao (v 1. kole vyšlo t −4,7)",1389,48.09215262778977,0.4924406047516199,1.5382695030207898,0.4924406047516199,-0.004983351331893426,0.5185,0.3079079438312095,1.5841933582122736,-0.004863588819415847,0.6322537112010796,1.564905290690492,0.3325617283950617,0.655123571869008,6/10,34200.0
