rodina,varianta,mechanismus,obchodu,win,b_obchod,t,bez_podminky_b,nad_nahodou_b,p_nahoda,alfa_b_den,alfa_t,beta,is_b,is_t,oos_b,oos_t,kladne_roky,usd
W Fade gapu po znovuotevření Globexu,"gap > 0.1 ATR, jen neděle večer → proti gapu do zaplnění nebo 09:30",přehnaná reakce v tenkém trhu po přestávce,214,62.149532710280376,-3.52803738317757,-1.6769585737082444,-3.52803738317757,0.01372897196261702,0.508,-0.38873477859830136,-1.9905090474777993,0.031150888310606653,-3.9224137931034484,-1.4900463026164519,-3.061224489795918,-0.9029056179153647,2/10,-37750.0
W Fade gapu po znovuotevření Globexu,"gap > 0.25 ATR, jen neděle večer → proti gapu do zaplnění nebo 09:30",přehnaná reakce v tenkém trhu po přestávce,81,53.086419753086425,-3.6604938271604937,-0.7815980746514255,-3.6604938271604937,0.04186111111111135,0.506,-0.1691109043913709,-1.029737029543159,0.020912152769135304,-3.107142857142857,-0.5646647086049341,-4.256410256410256,-0.5463042334354326,2/10,-14825.0
W Fade gapu po znovuotevření Globexu,"gap > 0.1 ATR, každý den 18:00 → proti gapu do zaplnění nebo 09:30",přehnaná reakce v tenkém trhu po přestávce,218,61.46788990825688,-4.104357798165138,-1.9513724819195462,-4.104357798165138,-0.04178669724770678,0.5195,-0.45044962613637074,-2.2598372257450094,0.03151423163464992,-4.3760683760683765,-1.6520013732113812,-3.7896039603960396,-1.1278490159782253,2/10,-44737.5
X Evropská seance,směr 16:00→03:00 po něm 03:00→09:30,evropské informace a toky,2253,48.73501997336884,-0.9318686196182867,-2.2434230186110287,-0.9318686196182867,0.007100643586329336,0.49,-0.8780579699397446,-2.1487306737764524,-0.020447496996252187,-0.6978527607361963,-1.6313835033540873,-1.1719874100719425,-1.631803935786521,4/10,-104975.0
X Evropská seance,"směr 16:00→03:00 po něm 03:00→09:30, |pohyb| > 0.2 ATR",evropské informace a toky,1181,48.26418289585097,-0.9991532599491956,-1.6943160599132934,-0.9991532599491956,-0.004164796782387792,0.505,-0.4684247415936236,-1.5426830587652944,-0.024723769771465235,-0.7797987616099071,-1.2367548079611168,-1.264018691588785,-1.196376722946874,4/10,-59000.0
X Evropská seance,"směr 16:00→03:00 proti něm 03:00→09:30, |pohyb| > 0.2 ATR",evropské informace a toky,1181,47.16342082980525,-0.000846740050804403,-0.0014358610677231301,-0.000846740050804403,-0.004707662997459778,0.5015,-0.04749215924874072,-0.15650462902408613,0.02482738198942833,-0.22020123839009287,-0.3492374619006826,0.26401869158878505,0.24989014730683323,5/10,-50.0
