X,kill,SL,RRR,smer,n,tp,win,be,usd,ptt,t,dd,streak
10,Yes,7.5,15,short,1396,0.716,20.344,6.25,-3912.5,-0.056,-0.106,-46387.5,23
10,Yes,10.0,15,long,1404,0.214,34.259,6.25,59025.0,0.841,1.665,-18087.5,18
10,Yes,10.0,15,short,1396,0.43,25.716,6.25,2250.0,0.032,0.054,-47450.0,24
10,Yes,15.0,15,long,1404,0.071,41.026,6.25,42125.0,0.6,1.032,-22737.5,18
10,Yes,15.0,15,short,1396,0.0,33.238,6.25,-4737.5,-0.068,-0.103,-53250.0,24
10,Yes,2.0,20,long,1404,2.137,10.256,4.762,-21775.0,-0.31,-1.503,-31987.5,78
10,Yes,2.0,20,short,1396,2.794,6.089,4.762,-54325.0,-0.778,-3.82,-57600.0,148
10,Yes,3.0,20,long,1404,1.211,15.741,4.762,22700.0,0.323,1.108,-17912.5,32
10,Yes,3.0,20,short,1396,2.006,8.883,4.762,-46950.0,-0.673,-2.317,-53550.0,48
10,Yes,5.0,20,long,1404,0.285,22.792,4.762,40600.0,0.578,1.537,-17087.5,23
10,Yes,5.0,20,short,1396,0.931,15.258,4.762,2012.5,0.029,0.065,-37937.5,38
10,Yes,7.5,20,long,1404,0.142,28.989,4.762,42350.0,0.603,1.355,-17012.5,19
10,Yes,7.5,20,short,1396,0.43,20.272,4.762,-587.5,-0.008,-0.015,-53337.5,26
10,Yes,10.0,20,long,1404,0.071,34.259,4.762,62775.0,0.894,1.728,-18087.5,18
10,Yes,10.0,20,short,1396,0.072,25.716,4.762,-1775.0,-0.025,-0.043,-47450.0,24
10,Yes,15.0,20,long,1404,0.071,41.026,4.762,45875.0,0.653,1.092,-22737.5,18
10,Yes,15.0,20,short,1396,0.0,33.238,4.762,-4737.5,-0.068,-0.103,-53250.0,24
15,No,2.0,10,long,1075,10.326,10.326,9.091,-11862.5,-0.221,-1.075,-18262.5,40
15,No,2.0,10,short,1080,8.519,8.519,9.091,-33800.0,-0.626,-3.348,-38650.0,107
15,No,3.0,10,long,1070,11.589,11.589,9.091,17287.5,0.323,1.0,-10700.0,46
15,No,3.0,10,short,1078,8.442,8.442,9.091,-37975.0,-0.705,-2.505,-42625.0,59
15,No,5.0,10,long,1027,11.977,11.977,9.091,54712.5,1.065,1.9,-9075.0,30
15,No,5.0,10,short,1065,9.014,9.014,9.091,-27425.0,-0.515,-1.059,-46475.0,55
15,No,7.5,10,long,944,10.275,10.275,9.091,16850.0,0.357,0.435,-35612.5,34
15,No,7.5,10,short,1015,8.966,8.966,9.091,-27087.5,-0.534,-0.713,-48075.0,55
15,No,10.0,10,long,842,10.451,10.451,9.091,36000.0,0.855,0.735,-36675.0,33
15,No,10.0,10,short,934,9.636,9.636,9.091,5787.5,0.124,0.116,-37650.0,42
15,No,15.0,10,long,661,10.893,10.893,9.091,76875.0,2.326,1.161,-39462.5,29
15,No,15.0,10,short,745,9.664,9.664,9.091,12487.5,0.335,0.187,-56600.0,69
15,No,2.0,15,long,1071,7.563,7.563,6.25,-4387.5,-0.082,-0.317,-14900.0,69
15,No,2.0,15,short,1078,5.288,5.288,6.25,-43550.0,-0.808,-3.703,-46475.0,107
15,No,3.0,15,long,1050,8.381,8.381,6.25,28900.0,0.55,1.329,-10525.0,47
15,No,3.0,15,short,1074,5.587,5.587,6.25,-44162.5,-0.822,-2.443,-49287.5,82
15,No,5.0,15,long,984,7.927,7.927,6.25,36400.0,0.74,1.066,-27037.5,34
15,No,5.0,15,short,1042,5.47,5.47,6.25,-57662.5,-1.107,-1.955,-69375.0,69
15,No,7.5,15,long,871,7.463,7.463,6.25,35537.5,0.816,0.761,-33587.5,53
15,No,7.5,15,short,966,6.004,6.004,6.25,-37012.5,-0.766,-0.831,-60912.5,58
15,No,10.0,15,long,746,7.909,7.909,6.25,72462.5,1.943,1.224,-27175.0,48
15,No,10.0,15,short,853,7.034,7.034,6.25,30825.0,0.723,0.515,-39687.5,70
15,No,15.0,15,long,549,7.832,7.832,6.25,85650.0,3.12,1.131,-38375.0,40
15,No,15.0,15,short,621,5.797,5.797,6.25,-51237.5,-1.65,-0.727,-79025.0,69
15,No,2.0,20,long,1064,5.639,5.639,4.762,-6200.0,-0.117,-0.389,-19012.5,69
15,No,2.0,20,short,1077,3.993,3.993,4.762,-44325.0,-0.823,-3.284,-47400.0,121
15,No,3.0,20,long,1032,6.589,6.589,4.762,34775.0,0.674,1.375,-11375.0,47
15,No,3.0,20,short,1065,3.85,3.85,4.762,-57437.5,-1.079,-2.902,-65137.5,116
15,No,5.0,20,long,936,6.197,6.197,4.762,41712.5,0.891,1.072,-33037.5,49
15,No,5.0,20,short,1024,4.102,4.102,4.762,-61137.5,-1.194,-1.834,-73187.5,77
15,No,7.5,20,long,807,5.948,5.948,4.762,47700.0,1.182,0.898,-40425.0,56
15,No,7.5,20,short,924,4.437,4.437,4.762,-47987.5,-1.039,-0.972,-83187.5,114
15,No,10.0,20,long,658,5.623,5.623,4.762,37262.5,1.133,0.599,-51450.0,78
15,No,10.0,20,short,761,5.125,5.125,4.762,9500.0,0.25,0.148,-55650.0,70
15,No,15.0,20,long,467,6.638,6.638,4.762,123275.0,5.279,1.452,-46950.0,59
15,No,15.0,20,short,553,3.617,3.617,4.762,-117600.0,-4.253,-1.696,-127412.5,75
15,Yes,2.0,10,long,1075,7.163,12.372,9.091,-19550.0,-0.364,-1.952,-22750.0,37
15,Yes,2.0,10,short,1080,7.778,8.889,9.091,-36562.5,-0.677,-3.726,-40187.5,107
15,Yes,3.0,10,long,1075,6.047,16.651,9.091,1125.0,0.021,0.077,-11150.0,29
15,Yes,3.0,10,short,1080,7.037,10.185,9.091,-39437.5,-0.73,-2.742,-42900.0,59
15,Yes,5.0,10,long,1075,3.721,23.349,9.091,33512.5,0.623,1.539,-6962.5,24
15,Yes,5.0,10,short,1080,5.926,15.648,9.091,-7912.5,-0.147,-0.336,-44862.5,48
15,Yes,7.5,10,long,1075,1.209,29.209,9.091,24412.5,0.454,0.938,-14887.5,28
15,Yes,7.5,10,short,1080,2.778,21.481,9.091,-3437.5,-0.064,-0.113,-35850.0,38
15,Yes,10.0,10,long,1075,0.279,34.233,9.091,23487.5,0.437,0.811,-17825.0,17
15,Yes,10.0,10,short,1080,1.389,26.944,9.091,25762.5,0.477,0.703,-33187.5,19
